botA,botB,variant,games,aWins,bWins,draws,aWinRate,aWinLo,aWinHi,aWinsAsWhite,gamesAasWhite,aWinsAsBlack,gamesAasBlack,meanTurns,aScore,inactivityDrawRate,purchasesPerGame,aPurchasesPerGame,bPurchasesPerGame,meanCompletedTurns,adjudicationRate,invariantViolations,illegalActionsTotal,meanDurationMs
Greedy,Mono-plant,muju-phasing-1 h0,4,2,0,2,0.5000,0.1500,0.8500,2,2,0,2,16.3,0.7500,0.5000,13.000,6.750,6.250,31.50,0.000,0,0,16
Greedy,Mono-plant,muju-phasing-1 h3,4,1,0,3,0.2500,0.0456,0.6994,0,2,1,2,14.5,0.6250,0.7500,10.250,5.000,5.250,28.25,0.000,0,0,16
Greedy,Mono-shadow,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,22.5,0.5000,1.0000,19.250,10.500,8.750,44.50,0.000,0,0,19
Greedy,Mono-shadow,muju-phasing-1 h3,4,3,1,0,0.7500,0.3006,0.9544,1,2,2,2,12.3,0.7500,0.0000,12.500,4.750,7.750,23.25,0.000,0,0,13
Greedy,Mono-water,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,13.5,0.5000,1.0000,9.500,4.750,4.750,27.00,0.000,0,0,13
Greedy,Mono-water,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,17.3,0.5000,1.0000,14.500,8.750,5.750,34.00,0.000,0,0,21
Greedy,Random,muju-phasing-1 h0,4,4,0,0,1.0000,0.5101,1.0000,2,2,2,2,8.8,1.0000,0.0000,8.500,1.750,6.750,16.00,0.000,0,0,16
Greedy,Random,muju-phasing-1 h3,4,2,0,2,0.5000,0.1500,0.8500,1,2,1,2,12.3,0.7500,0.5000,10.750,6.250,4.500,23.75,0.000,0,0,15
Greedy,Rush,muju-phasing-1 h0,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,21.8,0.1250,0.2500,98.500,8.750,89.750,42.50,0.000,0,0,253
Greedy,Rush,muju-phasing-1 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,23.5,0.0000,0.0000,108.000,8.500,99.500,45.75,0.000,0,0,209
Greedy,Tier1Spam,muju-phasing-1 h0,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,29.5,0.1250,0.2500,100.250,10.250,90.000,57.75,0.000,0,0,134
Greedy,Tier1Spam,muju-phasing-1 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,27.5,0.0000,0.0000,97.250,10.500,86.750,53.50,0.000,0,0,92
Greedy,Turtle,muju-phasing-1 h0,4,1,0,3,0.2500,0.0456,0.6994,1,2,0,2,8.8,0.6250,0.7500,5.500,3.250,2.250,17.00,0.000,0,0,12
Greedy,Turtle,muju-phasing-1 h3,4,2,0,2,0.5000,0.1500,0.8500,2,2,0,2,9.5,0.7500,0.5000,7.000,4.250,2.750,18.25,0.000,0,0,13
MiningDenial,Mono-fire,muju-phasing-1 h0,4,3,1,0,0.7500,0.3006,0.9544,1,2,2,2,11.0,0.7500,0.0000,25.750,19.750,6.000,20.75,0.000,0,0,11
MiningDenial,Mono-fire,muju-phasing-1 h3,4,3,1,0,0.7500,0.3006,0.9544,2,2,1,2,10.3,0.7500,0.0000,25.500,20.250,5.250,18.75,0.000,0,0,9
MiningDenial,Mono-lightning,muju-phasing-1 h0,4,2,2,0,0.5000,0.1500,0.8500,1,2,1,2,9.0,0.5000,0.0000,27.750,21.750,6.000,16.50,0.000,0,0,10
MiningDenial,Mono-lightning,muju-phasing-1 h3,4,3,1,0,0.7500,0.3006,0.9544,2,2,1,2,10.5,0.7500,0.0000,29.750,22.500,7.250,19.25,0.000,0,0,12
MiningDenial,Mono-metal,muju-phasing-1 h0,4,4,0,0,1.0000,0.5101,1.0000,2,2,2,2,20.0,1.0000,0.0000,69.750,61.250,8.500,38.50,0.000,0,0,51
MiningDenial,Mono-metal,muju-phasing-1 h3,4,4,0,0,1.0000,0.5101,1.0000,2,2,2,2,16.8,1.0000,0.0000,59.000,51.500,7.500,32.00,0.000,0,0,40
MiningDenial,Mono-plant,muju-phasing-1 h0,4,3,0,1,0.7500,0.3006,0.9544,1,2,2,2,16.8,0.8750,0.2500,59.500,51.500,8.000,32.50,0.000,0,0,37
MiningDenial,Mono-plant,muju-phasing-1 h3,4,3,0,1,0.7500,0.3006,0.9544,2,2,1,2,20.3,0.8750,0.2500,67.000,56.250,10.750,39.00,0.000,0,0,50
MiningDenial,Mono-shadow,muju-phasing-1 h0,4,1,1,2,0.2500,0.0456,0.6994,0,2,1,2,11.8,0.5000,0.5000,25.250,19.750,5.500,22.75,0.000,0,0,13
MiningDenial,Mono-shadow,muju-phasing-1 h3,4,2,1,1,0.5000,0.1500,0.8500,2,2,0,2,12.3,0.6250,0.2500,22.500,18.250,4.250,22.75,0.000,0,0,10
MiningDenial,Mono-water,muju-phasing-1 h0,4,2,0,2,0.5000,0.1500,0.8500,1,2,1,2,15.0,0.7500,0.5000,42.500,39.000,3.500,29.00,0.000,0,0,17
MiningDenial,Mono-water,muju-phasing-1 h3,4,3,0,1,0.7500,0.3006,0.9544,1,2,2,2,14.5,0.8750,0.2500,50.250,46.000,4.250,28.00,0.000,0,0,31
MiningDenial,Random,muju-phasing-1 h0,4,3,0,1,0.7500,0.3006,0.9544,2,2,1,2,9.3,0.8750,0.2500,34.750,29.500,5.250,17.00,0.000,0,0,38
MiningDenial,Random,muju-phasing-1 h3,4,3,0,1,0.7500,0.3006,0.9544,2,2,1,2,11.0,0.8750,0.2500,41.250,36.750,4.500,20.50,0.000,0,0,115
MiningDenial,Rush,muju-phasing-1 h0,4,1,3,0,0.2500,0.0456,0.6994,1,2,0,2,22.3,0.2500,0.0000,160.250,39.750,120.500,42.75,0.000,0,0,197
MiningDenial,Rush,muju-phasing-1 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,16.5,0.0000,0.0000,116.000,30.000,86.000,31.50,0.000,0,0,146
MiningDenial,Tier1Spam,muju-phasing-1 h0,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,27.5,0.3750,0.7500,146.500,60.000,86.500,54.25,0.000,0,0,136
MiningDenial,Tier1Spam,muju-phasing-1 h3,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,39.0,0.2500,0.5000,208.750,82.500,126.250,77.00,0.000,0,0,226
MiningDenial,Turtle,muju-phasing-1 h0,4,1,0,3,0.2500,0.0456,0.6994,0,2,1,2,18.8,0.6250,0.7500,63.250,59.750,3.500,37.00,0.000,0,0,60
MiningDenial,Turtle,muju-phasing-1 h3,4,4,0,0,1.0000,0.5101,1.0000,2,2,2,2,17.8,1.0000,0.0000,63.250,56.750,6.500,34.00,0.000,0,0,52
Mono-fire,Mono-lightning,muju-phasing-1 h0,4,3,1,0,0.7500,0.3006,0.9544,2,2,1,2,9.8,0.7500,0.0000,16.500,7.250,9.250,17.75,0.000,0,0,8
Mono-fire,Mono-lightning,muju-phasing-1 h3,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,12.3,0.0000,0.0000,20.250,10.750,9.500,23.00,0.000,0,0,9
Mono-fire,Mono-metal,muju-phasing-1 h0,4,4,0,0,1.0000,0.5101,1.0000,2,2,2,2,15.8,1.0000,0.0000,17.750,9.750,8.000,29.75,0.000,0,0,11
